"MarcoooS_FCB","Tue Jun 30 00:23:10 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"DatitosRivera","Tue Jun 30 00:23:11 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"nirvanasejo","Tue Jun 30 00:23:11 +0000 2015","@FutboolFichajes si se nota ese apoyo que asco del arbitraje malogrado esta #CopaAmerica #Chile2015"
"CanalCapital","Tue Jun 30 00:23:11 +0000 2015","Finaliza el 1er tiempo #Chile vence parcialmente 1-0 a #Peru en semifinales de #CopaAmerica #Chile2015"
"Gabohar","Tue Jun 30 00:23:11 +0000 2015","El gol fue digno de #PES pero efectivo ahora el equipo esta mas despierto y con hambre de gol. ¡Vamos! #ChilevsPeru #Chile #CopaAmerica #RT"
"skylogic7","Tue Jun 30 00:23:11 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"UNoticias","Tue Jun 30 00:23:12 +0000 2015","RT @UNdeportes: #CopaAmerica | MT | Con un expulsado peruano y un gol  #Chile 1-0 #Peru http://t.co/IfmaDLj7Rf http://t.co/zXpLd7CY3d"
"cagnis09","Tue Jun 30 00:23:12 +0000 2015","Imbecil de mierda como se hace expulsar. #PeruVsChile #CopaAmerica"
"AdrianneViz","Tue Jun 30 00:23:12 +0000 2015","If we win with one less player 🙌🏻🙌🏻🙌🏻🙌🏻 🔴⚽️🔴 #peru #copaamerica"
"FacundoReginato","Tue Jun 30 00:23:13 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"CuartoPoderMX","Tue Jun 30 00:23:13 +0000 2015","Termina la primera parte #Chile gana 1-0 a #Peru #CopaAmerica"
